"State/UT","Year","Season","Pump Type","Agricultural Demand (%)","Industrial Demand (%)","Domestic Demand (%)","Total Demand (%)","Subsidy Impact Factor","Market Growth Rate (%)","Energy Efficiency Rating"
"Andhra Pradesh","2019","Monsoon","Submersible","52","53","48","153","1.3872260175033","1.6046680082646","2"
"Andhra Pradesh","2019","Monsoon","Surface Suction","60","59","54","173","6.7310842977745","4.9343358122845","1"
"Andhra Pradesh","2019","Monsoon","Floating","35","19","45","99","6.8124913892848","2.5641671694154","3"
"Andhra Pradesh","2019","Winter","Submersible","13","59","64","136","18.732963037114","1.2351179600539","1"
"Andhra Pradesh","2019","Winter","Surface Suction","30","45","29","104","8.4694188461624","4.4111217024998","3"
"Andhra Pradesh","2019","Winter","Floating","58","44","55","157","7.4403617158557","5.658477764452","4"
"Andhra Pradesh","2020","Summer","Submersible","32","41","56","129","4.7719371958068","5.0790686794015","3"
"Andhra Pradesh","2020","Summer","Surface Suction","34","44","60","138","7.5545777235259","4.2059648411834","4"
"Andhra Pradesh","2020","Summer","Floating","57","34","41","132","5.9527034901862","1.5999093229712","4"
"Andhra Pradesh","2020","Monsoon","Submersible","21","50","38","109","1.8257335357227","2.9158818255425","2"
"Andhra Pradesh","2020","Monsoon","Surface Suction","40","28","35","103","8.9689104395664","2.7592646301884","1"
"Andhra Pradesh","2020","Monsoon","Floating","61","30","55","146","18.923890857634","5.6877763028272","3"
"Andhra Pradesh","2020","Winter","Submersible","54","51","58","163","19.918624840607","1.3352269280641","3"
"Andhra Pradesh","2020","Winter","Surface Suction","32","38","62","132","14.116629677574","6.8119116638448","1"
"Andhra Pradesh","2020","Winter","Floating","19","53","36","108","2.0224535224558","1.50464083669","1"
"Andhra Pradesh","2021","Summer","Submersible","49","51","28","128","16.437201185807","5.237453362939","1"
"Andhra Pradesh","2021","Summer","Surface Suction","38","46","57","141","19.732791570024","3.2456247745367","1"
"Andhra Pradesh","2021","Summer","Floating","31","26","26","83","19.720021276457","5.5202691115536","2"
"Andhra Pradesh","2021","Monsoon","Submersible","69","40","38","147","15.542938318549","4.3504254984148","3"
"Andhra Pradesh","2021","Monsoon","Surface Suction","19","35","38","92","2.223949646123","3.9557506257452","1"
"Andhra Pradesh","2021","Monsoon","Floating","59","37","39","135","2.3763583253614","1.7051574806626","1"
"Andhra Pradesh","2021","Winter","Submersible","48","10","22","80","11.667375301943","6.7730352908473","3"
"Andhra Pradesh","2021","Winter","Surface Suction","69","58","44","171","17.371982563789","2.3415750311167","2"
"Andhra Pradesh","2021","Winter","Floating","67","53","64","184","19.397576534153","1.2589594717035","1"
"Andhra Pradesh","2022","Summer","Submersible","25","30","30","85","18.382314305573","2.5179410079354","3"
"Andhra Pradesh","2022","Summer","Surface Suction","29","27","60","116","4.3361821317298","2.7669636810366","1"
"Andhra Pradesh","2022","Summer","Floating","62","12","35","109","14.74201411686","6.4915260500146","2"
"Andhra Pradesh","2022","Monsoon","Submersible","41","25","27","93","7.8904359721626","1.6405363956153","1"
"Andhra Pradesh","2022","Monsoon","Surface Suction","17","37","55","109","9.2739680987996","3.1201133681563","2"
"Andhra Pradesh","2022","Monsoon","Floating","37","37","56","130","19.487896153323","6.9172644668776","2"
"Andhra Pradesh","2022","Winter","Submersible","26","18","52","96","8.2241344174437","4.6166912921398","4"
"Andhra Pradesh","2022","Winter","Surface Suction","38","22","54","114","16.450744858463","6.6987994797515","4"
"Andhra Pradesh","2022","Winter","Floating","14","56","44","114","8.3648607258124","6.5963709001241","2"
"Andhra Pradesh","2023","Summer","Submersible","68","54","24","146","0.52733948994504","3.2587802012683","1"
"Andhra Pradesh","2023","Summer","Surface Suction","27","41","30","98","11.882614307043","3.2853451397861","2"
"Andhra Pradesh","2023","Summer","Floating","68","36","32","136","1.2702365918","1.2209312058159","3"
"Andhra Pradesh","2023","Monsoon","Submersible","10","30","25","65","13.834287943378","4.2060776501768","1"
"Andhra Pradesh","2023","Monsoon","Surface Suction","47","12","42","101","15.37974830361","6.6685943792946","2"
"Andhra Pradesh","2023","Monsoon","Floating","28","26","40","94","9.0108827062019","1.774956490909","3"
"Andhra Pradesh","2023","Winter","Submersible","54","22","23","99","4.5728561100693","5.0302041064351","4"
"Andhra Pradesh","2023","Winter","Surface Suction","43","37","50","130","2.2711518439926","5.0294391735568","2"
"Andhra Pradesh","2023","Winter","Floating","63","12","31","106","16.327714704261","6.8078425926389","2"
"Andhra Pradesh","2024","Summer","Submersible","39","26","42","107","15.102745113472","4.7218573081208","2"
"Andhra Pradesh","2024","Summer","Surface Suction","20","48","57","125","12.345274241946","6.8827763505543","2"
"Andhra Pradesh","2024","Summer","Floating","43","27","49","119","11.096312170845","1.546012546308","2"
"Andhra Pradesh","2024","Monsoon","Submersible","61","47","52","160","15.673060254823","3.3792566939276","3"
"Andhra Pradesh","2024","Monsoon","Surface Suction","51","26","24","101","15.929435513478","3.756080847677","1"
"Andhra Pradesh","2024","Monsoon","Floating","19","26","39","84","9.1827151247652","6.8801954517129","1"
"Andhra Pradesh","2024","Winter","Submersible","11","22","62","95","11.592998689435","3.0493792627393","3"
"Andhra Pradesh","2024","Winter","Surface Suction","66","32","35","133","3.0380538702459","1.8329630358965","4"
"Andhra Pradesh","2024","Winter","Floating","13","49","23","85","6.9133456664773","6.3807304594361","3"
"Andhra Pradesh","2025","Summer","Submersible","36","38","51","125","3.4463974240326","2.153734112852","3"
"Andhra Pradesh","2025","Summer","Surface Suction","30","14","37","81","5.5718067806392","2.0620629056605","1"
"Andhra Pradesh","2025","Summer","Floating","15","10","24","49","9.2155753606545","2.2380023104348","2"
"Andhra Pradesh","2025","Monsoon","Submersible","58","23","45","126","13.807896572587","1.2358728390466","1"
"Andhra Pradesh","2025","Monsoon","Surface Suction","56","31","49","136","3.1395536543239","3.2637157914524","1"
"Andhra Pradesh","2025","Monsoon","Floating","35","45","20","100","1.6903401536136","4.5836684935326","4"
"Andhra Pradesh","2025","Winter","Submersible","24","56","41","121","4.7223306623481","5.5597324536255","2"
"Andhra Pradesh","2025","Winter","Surface Suction","33","11","64","108","1.2468272502248","1.8864345514374","3"
"Andhra Pradesh","2025","Winter","Floating","16","12","42","70","10.233548842313","4.1926809115919","1"
"Arunachal Pradesh","2015","Summer","Submersible","27","47","54","128","7.9432766500816","1.6292149991949","3"
"Arunachal Pradesh","2015","Summer","Surface Suction","46","37","29","112","11.279301840377","6.0442599152676","2"
"Arunachal Pradesh","2015","Summer","Floating","35","53","44","132","17.810545614798","4.5615547213243","4"
"Arunachal Pradesh","2015","Monsoon","Submersible","19","12","60","91","9.9688439785811","1.5215217285245","3"
"Arunachal Pradesh","2015","Monsoon","Surface Suction","31","43","27","101","11.730708693215","4.3867512551358","2"
"Arunachal Pradesh","2015","Monsoon","Floating","50","46","25","121","17.9929479429","4.6453313337614","3"
"Arunachal Pradesh","2015","Winter","Submersible","65","54","25","144","12.115496387138","2.423360750416","2"
"Arunachal Pradesh","2015","Winter","Surface Suction","30","15","25","70","4.9191545676902","1.9640882395573","3"
"Arunachal Pradesh","2015","Winter","Floating","39","40","43","122","17.935308492528","1.4814024739699","3"
"Arunachal Pradesh","2016","Summer","Submersible","40","49","56","145","19.647572338172","1.6722334130083","2"
"Arunachal Pradesh","2016","Summer","Surface Suction","29","37","30","96","17.31014251788","5.9024324256957","1"
"Arunachal Pradesh","2016","Summer","Floating","39","47","21","107","11.135257860279","4.4296761368194","3"
"Arunachal Pradesh","2016","Monsoon","Submersible","54","53","24","131","3.7408749711505","2.9420754184255","3"
"Arunachal Pradesh","2016","Monsoon","Surface Suction","29","42","39","110","4.8481946483016","1.6890209484352","2"
"Arunachal Pradesh","2016","Monsoon","Floating","23","47","56","126","10.122079127187","6.5920860535416","1"
"Arunachal Pradesh","2016","Winter","Submersible","52","12","52","116","7.3846096301979","3.7256078333146","1"
"Arunachal Pradesh","2016","Winter","Surface Suction","32","19","63","114","4.0346092466047","5.107429287279","4"
"Arunachal Pradesh","2016","Winter","Floating","10","46","28","84","15.204557197794","4.5738324436471","4"
"Arunachal Pradesh","2017","Summer","Submersible","47","44","49","140","2.1339850022687","6.1043647600987","4"
"Arunachal Pradesh","2017","Summer","Surface Suction","53","59","33","145","18.658761341999","6.9455768587443","2"
"Arunachal Pradesh","2017","Summer","Floating","21","44","54","119","18.528988471794","5.3295793045077","4"
"Arunachal Pradesh","2017","Monsoon","Submersible","38","17","30","85","15.905346237198","2.2097639202865","2"
"Arunachal Pradesh","2017","Monsoon","Surface Suction","44","30","56","130","16.291494404628","4.9911833241772","2"
"Arunachal Pradesh","2017","Monsoon","Floating","13","34","64","111","11.766133515901","5.0978923805028","4"
"Arunachal Pradesh","2017","Winter","Submersible","48","49","33","130","17.993348905843","4.744609265091","1"
"Arunachal Pradesh","2017","Winter","Surface Suction","32","24","52","108","4.6442539029363","6.3974474396474","3"
"Arunachal Pradesh","2017","Winter","Floating","11","23","59","93","4.5805078184959","4.2570958636805","2"
"Arunachal Pradesh","2018","Summer","Submersible","15","12","26","53","14.610982736186","5.16230564442","4"
"Arunachal Pradesh","2018","Summer","Surface Suction","24","56","48","128","9.9084725280793","5.4487654668343","3"
"Arunachal Pradesh","2018","Summer","Floating","45","38","57","140","15.048062400776","5.2418827674608","3"
"Arunachal Pradesh","2018","Monsoon","Submersible","64","42","23","129","11.397793697426","5.5747521144441","3"
"Arunachal Pradesh","2018","Monsoon","Surface Suction","19","42","57","118","10.729627029692","3.2729293933415","1"
"Arunachal Pradesh","2018","Monsoon","Floating","33","24","48","105","10.797212742257","3.9181448919736","4"
"Arunachal Pradesh","2018","Winter","Submersible","21","54","21","96","0.24406144636089","4.5906562072314","4"
"Arunachal Pradesh","2018","Winter","Surface Suction","45","35","62","142","11.980587295547","5.9607929668545","2"
"Arunachal Pradesh","2018","Winter","Floating","19","49","57","125","4.5470196605997","3.5415811745229","2"
"Arunachal Pradesh","2019","Summer","Submersible","55","52","31","138","18.237048176859","1.8346971648584","2"
"Arunachal Pradesh","2019","Summer","Surface Suction","34","42","59","135","17.442478178883","6.5927096949017","4"
"Arunachal Pradesh","2019","Summer","Floating","57","13","24","94","18.449987623546","5.2434318058804","2"
"Arunachal Pradesh","2019","Monsoon","Submersible","58","37","50","145","12.134300927657","3.5447840278143","1"
"Arunachal Pradesh","2019","Monsoon","Surface Suction","23","49","60","132","18.511370258136","3.7050362284248","2"
"Arunachal Pradesh","2019","Monsoon","Floating","46","30","45","121","16.777961728919","1.7479760872196","1"
"Arunachal Pradesh","2019","Winter","Submersible","10","49","34","93","7.9800540774026","1.3285698329322","1"
"Arunachal Pradesh","2019","Winter","Surface Suction","19","35","60","114","2.2853460011138","3.4870275052218","2"
"Arunachal Pradesh","2019","Winter","Floating","20","47","21","88","9.3140024463763","3.8850218685344","3"
"Arunachal Pradesh","2020","Summer","Submersible","26","52","63","141","18.254989257583","2.4893586565429","1"
"Arunachal Pradesh","2020","Summer","Surface Suction","16","15","43","74","6.2294634226551","5.6829742452765","3"
"Arunachal Pradesh","2020","Summer","Floating","31","35","47","113","4.2536156868245","4.0910420944409","1"
"Arunachal Pradesh","2020","Monsoon","Submersible","29","50","39","118","8.2924824745405","1.5120980084719","1"
"Arunachal Pradesh","2020","Monsoon","Surface Suction","49","58","26","133","11.907700346401","1.4024588643306","3"
"Arunachal Pradesh","2020","Monsoon","Floating","60","28","51","139","9.3646365688276","4.7498559223063","1"
"Arunachal Pradesh","2020","Winter","Submersible","39","25","59","123","11.749072084681","2.7642680753258","3"
"Arunachal Pradesh","2020","Winter","Surface Suction","56","59","21","136","10.689117825145","3.8865276903255","2"
"Arunachal Pradesh","2020","Winter","Floating","47","13","20","80","6.6872562262096","1.4530201828233","3"
"Arunachal Pradesh","2021","Summer","Submersible","41","19","29","89","17.948608196378","4.1594707999558","1"
"Arunachal Pradesh","2021","Summer","Surface Suction","32","37","51","120","14.319444576948","4.9535436514609","1"
"Arunachal Pradesh","2021","Summer","Floating","66","12","43","121","3.9222619938691","4.0330472746362","4"
"Arunachal Pradesh","2021","Monsoon","Submersible","63","56","56","175","3.5708932410867","4.9164766471112","3"
"Arunachal Pradesh","2021","Monsoon","Surface Suction","17","43","54","114","4.8634438199891","5.333601591134","4"
"Arunachal Pradesh","2021","Monsoon","Floating","55","52","35","142","7.9436705923691","5.0085108194239","1"
"Arunachal Pradesh","2021","Winter","Submersible","23","40","37","100","0.26003847021472","1.5130511851268","3"
"Arunachal Pradesh","2021","Winter","Surface Suction","30","28","38","96","11.660831219394","3.528547303555","2"
"Arunachal Pradesh","2021","Winter","Floating","10","56","24","90","6.8363470339575","2.5565406005878","2"
"Arunachal Pradesh","2022","Summer","Submersible","12","32","31","75","16.613090131305","3.0711528692877","4"
"Arunachal Pradesh","2022","Summer","Surface Suction","39","18","53","110","17.221360399494","2.3170631504858","2"
"Arunachal Pradesh","2022","Summer","Floating","31","53","43","127","2.2847585184079","4.3946597197994","3"
"Arunachal Pradesh","2022","Monsoon","Submersible","55","32","51","138","8.5042700893847","1.1348158499207","2"
"Arunachal Pradesh","2022","Monsoon","Surface Suction","18","49","21","88","12.669564396523","2.5473261125992","2"
"Arunachal Pradesh","2022","Monsoon","Floating","31","52","23","106","2.6455242225066","6.4034338074183","2"
"Arunachal Pradesh","2022","Winter","Submersible","32","46","30","108","16.451677518233","4.1779700719305","2"
"Arunachal Pradesh","2022","Winter","Surface Suction","45","50","57","152","1.3435079983142","3.4314885281661","2"
"Arunachal Pradesh","2022","Winter","Floating","67","21","42","130","2.1315746025735","1.8401112319627","3"
"Arunachal Pradesh","2023","Summer","Submersible","66","40","25","131","14.643691569181","2.5043839633696","1"
"Arunachal Pradesh","2023","Summer","Surface Suction","66","16","29","111","18.288238918499","3.5126231493524","4"
"Arunachal Pradesh","2023","Summer","Floating","67","55","21","143","3.3256673751216","5.4282016985582","3"
"Arunachal Pradesh","2023","Monsoon","Submersible","62","45","45","152","1.3649941070818","6.0224739442182","3"
"Arunachal Pradesh","2023","Monsoon","Surface Suction","45","58","58","161","12.208093340159","6.6958407823466","3"
"Arunachal Pradesh","2023","Monsoon","Floating","56","33","41","130","14.651441944205","2.2896422715445","4"
"Arunachal Pradesh","2023","Winter","Submersible","56","29","38","123","11.901558614005","1.3085548809055","2"
"Arunachal Pradesh","2023","Winter","Surface Suction","68","54","62","184","6.6848778163392","5.6254732224749","1"
"Arunachal Pradesh","2023","Winter","Floating","18","18","59","95","14.563775124072","3.9729478972372","3"
"Arunachal Pradesh","2024","Summer","Submersible","49","51","44","144","4.9280406647821","5.9146139060452","1"
"Arunachal Pradesh","2024","Summer","Surface Suction","53","53","49","155","0.1050763711677","1.6185624760825","1"
"Arunachal Pradesh","2024","Summer","Floating","53","58","36","147","19.004747076416","3.6760346377477","3"
"Arunachal Pradesh","2024","Monsoon","Submersible","21","25","43","89","15.167848278914","4.8336963120056","1"
"Arunachal Pradesh","2024","Monsoon","Surface Suction","32","46","35","113","16.983913031306","2.4980080531551","1"
"Arunachal Pradesh","2024","Monsoon","Floating","21","24","45","90","1.0319161331742","5.0195047873002","4"
"Arunachal Pradesh","2024","Winter","Submersible","19","25","26","70","19.987069991317","4.3348394886231","2"
"Arunachal Pradesh","2024","Winter","Surface Suction","67","16","33","116","2.4104515757293","5.3861420287497","3"
"Arunachal Pradesh","2024","Winter","Floating","57","17","42","116","15.906836759182","5.4703872887213","4"
"Arunachal Pradesh","2025","Summer","Submersible","48","44","37","129","10.448691521423","4.8672799037549","2"
"Arunachal Pradesh","2025","Summer","Surface Suction","40","33","54","127","11.21354388007","3.8863713030645","3"
"Arunachal Pradesh","2025","Summer","Floating","46","52","59","157","8.8206432349632","3.4269126980911","3"
"Arunachal Pradesh","2025","Monsoon","Submersible","24","58","23","105","15.814463296779","2.9125150175924","2"
"Arunachal Pradesh","2025","Monsoon","Surface Suction","42","25","64","131","12.317263763646","2.3977568485218","3"
"Arunachal Pradesh","2025","Monsoon","Floating","44","51","53","148","0.42538821700774","6.2482100361052","1"
"Arunachal Pradesh","2025","Winter","Submersible","27","41","51","119","15.975664715473","6.9876046632","4"
"Arunachal Pradesh","2025","Winter","Surface Suction","38","58","48","144","0.75193546412522","3.878687961139","4"
"Arunachal Pradesh","2025","Winter","Floating","65","53","29","147","1.8339867022286","3.0182227829705","4"
"Assam","2015","Summer","Submersible","14","10","49","73","0.066927240859584","3.8038645992259","4"
"Assam","2015","Summer","Surface Suction","39","59","23","121","14.311066304685","4.5346512068254","4"
"Assam","2015","Summer","Floating","10","55","34","99","8.5554626747172","3.3059598829581","4"
"Assam","2015","Monsoon","Submersible","13","21","56","90","15.726900288311","1.5364660138736","2"
"Assam","2015","Monsoon","Surface Suction","48","55","43","146","9.3480302249974","4.6804683352642","1"
"Assam","2015","Monsoon","Floating","16","13","27","56","18.854635482703","4.8978798939542","1"
"Assam","2015","Winter","Submersible","60","54","29","143","0.93890714295626","3.3045436689475","1"
"Assam","2015","Winter","Surface Suction","58","12","25","95","16.015393742597","4.7786675379769","3"
"Assam","2015","Winter","Floating","58","18","54","130","11.945481448607","4.1501890051616","3"
"Assam","2016","Summer","Submersible","51","44","37","132","13.920412361076","1.9233754380391","4"
"Assam","2016","Summer","Surface Suction","44","47","32","123","4.4763522964525","4.2218465373605","1"
"Assam","2016","Summer","Floating","13","23","56","92","1.8297367479551","6.2647651757823","3"
"Assam","2016","Monsoon","Submersible","68","37","48","153","17.77496159738","6.7339089893785","4"
"Assam","2016","Monsoon","Surface Suction","51","18","34","103","13.10483961278","4.3051442236548","3"
"Assam","2016","Monsoon","Floating","43","33","34","110","0.10164279636052","5.1742857570985","4"
"Assam","2016","Winter","Submersible","35","27","25","87","19.242439451841","1.6568131603267","4"
"Assam","2016","Winter","Surface Suction","14","22","36","72","1.2303405247847","6.2974376148248","2"
"Assam","2016","Winter","Floating","38","12","59","109","13.560323051181","4.3943917839747","1"
"Assam","2017","Summer","Submersible","42","15","43","100","15.948520432139","4.9507110079506","1"
"Assam","2017","Summer","Surface Suction","68","57","60","185","6.6801775749048","2.4321401878061","1"
"Assam","2017","Summer","Floating","51","45","46","142","15.054332791153","1.9516306317584","3"
"Assam","2017","Monsoon","Submersible","54","40","42","136","0.1029034150943","5.9196815044486","1"
"Assam","2017","Monsoon","Surface Suction","39","48","50","137","0.02240222960219","4.3370904102385","1"
"Assam","2017","Monsoon","Floating","38","21","58","117","3.8626572917459","1.5045893468079","3"
"Assam","2017","Winter","Submersible","58","50","36","144","2.3168771356052","3.2601721719208","4"
"Assam","2017","Winter","Surface Suction","33","54","54","141","2.5689743618638","2.7000576895935","3"
"Assam","2017","Winter","Floating","19","50","51","120","16.802430054824","3.3529072686712","3"
"Assam","2018","Summer","Submersible","39","46","48","133","15.776139637415","2.0425208518454","4"
"Assam","2018","Summer","Surface Suction","59","13","46","118","3.3275517386454","5.6259057551928","1"
"Assam","2018","Summer","Floating","19","10","41","70","12.41831035535","1.2744522028751","2"
"Assam","2018","Monsoon","Submersible","23","56","48","127","8.9191661402064","4.8854418604114","4"
"Assam","2018","Monsoon","Surface Suction","21","16","48","85","0.44247103057995","2.9416613148972","3"
"Assam","2018","Monsoon","Floating","41","20","42","103","8.918054127535","2.64175999769","1"
"Assam","2018","Winter","Submersible","13","26","54","93","9.0277404865935","1.98174292715","3"
"Assam","2018","Winter","Surface Suction","38","38","30","106","4.4153922557752","1.4942862736951","2"
"Assam","2018","Winter","Floating","29","31","30","90","5.4651905399642","6.7051813735025","4"
"Assam","2019","Summer","Submersible","65","37","48","150","18.872318403352","3.5183639015567","3"
"Assam","2019","Summer","Surface Suction","29","15","38","82","5.4843040469734","6.903865887759","1"
"Assam","2019","Summer","Floating","67","47","34","148","14.916740240619","2.2021548612923","1"
"Assam","2019","Monsoon","Submersible","34","33","31","98","11.255005726868","3.8291947606151","3"
"Assam","2019","Monsoon","Surface Suction","17","55","44","116","17.372463359112","5.6595811167505","3"
"Assam","2019","Monsoon","Floating","36","55","26","117","12.524406432628","1.7874692660943","1"
"Assam","2019","Winter","Submersible","33","12","39","84","15.930745819524","3.8891341090753","2"
"Assam","2019","Winter","Surface Suction","16","26","63","105","4.9507991120675","4.3504760354992","4"
"Assam","2019","Winter","Floating","66","31","21","118","15.951182012744","2.8621717535414","1"
"Assam","2020","Summer","Submersible","26","17","40","83","1.4489377558912","3.3549613384401","2"
"Assam","2020","Summer","Surface Suction","56","40","57","153","5.8332515741861","5.1698913167593","1"
"Assam","2020","Summer","Floating","69","47","60","176","0.79237650696714","3.883041683547","4"
"Assam","2020","Monsoon","Submersible","50","26","31","107","19.733251865343","1.8549732574091","4"
"Assam","2020","Monsoon","Surface Suction","63","31","47","141","14.049299410882","4.3578921009215","4"
"Assam","2020","Monsoon","Floating","59","42","21","122","10.684844119529","6.2952009149176","2"
"Assam","2020","Winter","Submersible","42","22","45","109","7.9384655240319","1.7962945242584","3"
"Assam","2020","Winter","Surface Suction","35","55","34","124","4.0030048848962","2.0048954935544","1"
"Assam","2020","Winter","Floating","49","20","22","91","17.924426053701","4.5686598242616","1"
"Assam","2021","Summer","Submersible","48","40","51","139","5.9767177267463","6.6112108917968","4"
"Assam","2021","Summer","Surface Suction","59","37","39","135","6.7890038508561","5.8889506824791","3"
"Assam","2021","Summer","Floating","20","29","35","84","10.951847523075","5.903786619775","2"
"Assam","2021","Monsoon","Submersible","12","50","61","123","8.7721443297908","5.3489593592443","4"
"Assam","2021","Monsoon","Surface Suction","32","21","32","85","9.5855785715257","4.6944521316535","3"
"Assam","2021","Monsoon","Floating","64","55","55","174","14.885581311899","6.2309966738387","1"
"Assam","2021","Winter","Submersible","64","41","63","168","11.107271018753","5.3152106696336","2"
"Assam","2021","Winter","Surface Suction","46","41","60","147","9.865536935676","1.4891589373146","3"
"Assam","2021","Winter","Floating","44","38","34","116","5.1536577702243","3.7757377404359","2"
"Assam","2022","Summer","Submersible","30","40","43","113","8.5098666889615","3.0756099552818","4"
"Assam","2022","Summer","Surface Suction","29","33","51","113","11.761167561802","1.176366674539","2"
"Assam","2022","Summer","Floating","45","11","34","90","18.014037280225","3.5303255612407","2"
"Assam","2022","Monsoon","Submersible","60","21","22","103","12.45933167127","4.7893613205551","3"
"Assam","2022","Monsoon","Surface Suction","42","44","45","131","14.316499293642","6.4541951239938","3"
"Assam","2022","Monsoon","Floating","51","53","33","137","19.427901880833","2.0858617162569","1"
"Assam","2022","Winter","Submersible","47","54","60","161","4.9446214880635","6.2244994076351","3"
"Assam","2022","Winter","Surface Suction","23","48","44","115","13.252425580166","1.5715690477278","1"
"Assam","2022","Winter","Floating","68","34","47","149","5.1626686540226","4.9404199872478","3"
"Assam","2023","Summer","Submersible","10","49","31","90","2.617473214367","6.8189262704713","3"
"Assam","2023","Summer","Surface Suction","40","20","29","89","1.4699349466003","2.0185474305252","2"
"Assam","2023","Summer","Floating","38","19","31","88","16.577667317652","3.5853251419708","4"
"Assam","2023","Monsoon","Submersible","17","52","31","100","14.135544337709","2.0022514474057","4"
"Assam","2023","Monsoon","Surface Suction","37","52","56","145","7.1346410608","4.2010715517982","1"
"Assam","2023","Monsoon","Floating","58","53","47","158","17.284323553483","4.3488414975632","3"
"Assam","2023","Winter","Submersible","29","59","33","121","1.1417371217863","4.1870171680062","4"
"Assam","2023","Winter","Surface Suction","35","38","20","93","2.4421982802005","3.7131941697006","1"
"Assam","2023","Winter","Floating","68","14","52","134","10.144696173768","1.2494371543024","2"
"Assam","2024","Summer","Submersible","29","59","43","131","13.71935471966","1.1042787411129","1"
"Assam","2024","Summer","Surface Suction","59","38","58","155","9.0947971126772","4.0935761714755","2"
"Assam","2024","Summer","Floating","32","53","57","142","2.7930250951263","1.1798415392361","1"
